SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,Peaks,PeakCaller
SRR8588842,NB4,anti-HDAC1,HDAC1,HDAC1,1,./data/SRR8588842_sorted.bam,./data/SRR8588842_peaks.narrowPeak,narrow
SRR8588843,NB4,anti-P300,anti-P300,anti-P300,1,./data/SRR8588843_sorted.bam,./data/SRR8588843_peaks.narrowPeak,narrow
